标题,地块编号,省份,城市,总面积,建设用地面积,规划建筑面积,代征面积,容积率,绿化率,商业比例,建筑密度,限制高度,出让形式,出让年限,位置,四至,规划用途,交易状况,竞得方,起始日期,截止日期,成交日期,交易低点,起始价,成交价,楼面地价,溢价率,土地公告,咨询电话,保证金,最小加价幅度,
天府新区华阳街道一心村二、五组，鹤林村四组,地块编号：TF（07/05）:2015-34,四川,成都,112723,106064,296000,6659,≥1且≤2.8,暂无,≥10且≤20,住宅兼容商业用地≤30；幼儿园≤35。,满足航空限高要求,拍卖,住宅用地70年、商服用地40年,天府新区华阳街道一心村二、五组，鹤林村四组,天府新区华阳街道一心村二、五组，鹤林村四组,住宅用地、商服用地,已成交,成都德商置业有限公司,2016/1/20,2016/1/20,2016/1/20,成都市高新区天府大道北段966号天府国际金融中心7号楼,55683万元,93335万元,3153元,67.62%,天府新区华阳街道一心村二、五组，鹤土地公告,http://industrydown.fang.com/tudi/20151229/chenggongzitupaigao[2015]62hao.docx,028-85987887,14000万元,暂无
新都区大丰街道高堆社区4、5、6、9社,地块编号：XD2015-44(252),四川,成都,37913,37913,113740,暂无,≥1且≤3,暂无,暂无,≤22,≤759（绝对高程）,拍卖,住宅用地70年，商业用地40年,新都区大丰街道高堆社区4、5、6、9社,新都区大丰街道高堆社区4、5、6、9社,城镇混合住宅用地,已成交,成都优品道置地有限公司,2016/1/20,2016/1/20,2016/1/20,成都市高新区天府大道北段966号天府国际金融中心7号楼,19628万元,22805万元,2005元,16.19%,新都区大丰街道高堆社区4、5、6、土地公告,http://industrydown.fang.com/tudi/20151229/chenggongzitupaigao[2015]62hao.docx,028-85987887,7851万元,暂无
新都区新都街道蓉都大道东侧、金光路南侧、新泰路北侧,地块编号：XD2015-37（211）,四川,成都,59196,59196,295981,暂无,≥1且≤5,暂无,暂无,≤60,满足航空限高，≥120,拍卖,商业用地40年、住宅用地70年,新都区新都街道蓉都大道东侧、金光路南侧、新泰路北侧,新都区新都街道蓉都大道东侧、金光路南侧、新泰路北侧,商业用地、住宅用地,已成交,成都七一置业有限公司,2016/1/20,2016/1/20,2016/1/20,成都市高新区天府大道北段966号天府国际金融中心7号楼,28562万元,28562万元,965元,暂无,新都区新都街道蓉都大道东侧、金光路土地公告,http://industrydown.fang.com/tudi/20151229/chenggongzitupaigao[2015]62hao.docx,028-85987887,11425万元,暂无
天府新区兴隆街道罗家店村五、六、七组，万安街道高饭店村二、三组，华阳街道香山村五组,地块编号：TF（252/085）：2015-32,四川,成都,308170,300170,571000,8000,≥1且≤1.9,暂无,≥5且≤49,≤28,满足航空限高要求,拍卖,住宅用地70年、商业用地40年、文体娱乐用地50年,天府新区兴隆街道罗家店村五、六、七组，万安街道高饭店村二、三组，华阳街道香山村五组,天府新区兴隆街道罗家店村五、六、七组，万安街道高饭店村二、三组，华阳街道香山村五组,城镇混合住宅用地、文体娱乐用地,已成交,成都航逸科技有限公司、成都航逸置业有限公司,2016/1/18,2016/1/18,2016/1/18,成都市高新区天府大道北段966号天府国际金融中心7号楼,54486万元,54486万元,954元,暂无,天府新区兴隆街道罗家店村五、六、七土地公告,http://industrydown.fang.com/tudi/20151224/chenggongzitupaigao[2015]61hao.docx,028-85987887,27300万元,暂无
新都区新都街道南社区1、2组，泰兴镇普河社区8组,地块编号：XGY-1524,四川,成都,32032,32032,96096,暂无,≥1且≤3,符合相关规定要求,暂无,≥40,暂无,挂牌,50年,新都区新都街道南社区1、2组，泰兴镇普河社区8组,新都区新都街道南社区1、2组，泰兴镇普河社区8组,工业用地,已成交,四川恒博钢结构工程有限公司,2016/1/4,2016/1/18,2016/1/18,成都市新都区公共资源交易服务中心,769万元,769万元,80元,暂无,新都区新都街道南社区1、2组，泰兴土地公告,http://industrydown.fang.com/tudi/20151223/xinguotuguagao[2015]11hao.docx,028-83080895,154万元,暂无
天府新区正兴街道田家寺村三、四、五组,地块编号：TF（252/21）:2015-33,四川,成都,95497,95497,372900,暂无,＞1且≤3.9,暂无,≥5且≤49,商住用地≤30；商地≤35,满足航空限高要求,拍卖,住宅用地70年、商业用地40年,天府新区正兴街道田家寺村三、四、五组,天府新区正兴街道田家寺村三、四、五组,城镇混合住宅用地、商业用地（幼儿园）,已成交,成都蔚蓝卡地亚投资有限公司,2016/1/15,2016/1/15,2016/1/15,成都市高新区天府大道北段966号天府国际金融中心7号楼,42974万元,42974万元,1152元,暂无,天府新区正兴街道田家寺村三、四、五土地公告,http://industrydown.fang.com/tudi/20151223/chenggongzitupaigao[2015]60hao.docx,028-85987887,10800万元,暂无
都江堰市永丰街道联盟社区,地块编号：DJY2015-35（252/211）,四川,成都,64176,64176,160440,暂无,＞1且≤2.5,暂无,暂无,≤26,≤60,拍卖,住宅70年商业40年,都江堰市永丰街道联盟社区,都江堰市永丰街道联盟社区,城镇混合住宅用地,未成交,暂无,2016/1/15,2016/1/15,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,12803万元,暂无,暂无,暂无,都江堰市永丰街道联盟社区土地公告,http://industrydown.fang.com/tudi/20151223/chenggongzitupaigao[2015]60hao.docx,028-85987887,3300万元,暂无
郫县犀浦镇万福村六社、万福村集体,地块编号：PX2015-17（252/211）,四川,成都,31417,31417,91100,暂无,＞1且≤2.9,暂无,暂无,≤20,≤584（绝对海拔高程）,拍卖,住宅70年、商业40年,郫县犀浦镇万福村六社、万福村集体,郫县犀浦镇万福村六社、万福村集体,城镇混合住宅用地,已成交,成都中泓房地产开发有限公司,2016/1/14,2016/1/14,2016/1/14,成都市高新区天府大道北段966号天府国际金融中心7号楼,21206万元,26814万元,2943元,26.44%,郫县犀浦镇万福村六社、万福村集体土地公告,http://industrydown.fang.com/tudi/20151223/chenggongzitupaigao[2015]59hao.docx,028-85987887,5300万元,暂无
郫县犀浦镇五粮村5社、五粮村集体,地块编号：PX2015-18(211/252),四川,成都,32954,32954,98860,暂无,＞1且≤3,暂无,暂无,≤40,≤572（绝对海拔高程）,拍卖,商业40年、住宅70年,郫县犀浦镇五粮村5社、五粮村集体,郫县犀浦镇五粮村5社、五粮村集体,商业用地、城镇混合住宅用地,已成交,四川天悦城房地产开发有限公司,2016/1/14,2016/1/14,2016/1/14,成都市高新区天府大道北段966号天府国际金融中心7号楼,9392万元,9589万元,970元,2.11%,郫县犀浦镇五粮村5社、五粮村集体土地公告,http://industrydown.fang.com/tudi/20151223/chenggongzitupaigao[2015]59hao.docx,028-85987887,2400万元,暂无
郫县郫筒镇双喜村一、二、三社，晨光村三、六社，书院村一社,地块编号：PX2015-15（252/211）,四川,成都,196257,196257,490630,暂无,＞1且≤2.5,暂无,暂无,≤28,≤100,拍卖,住宅70年、商业40年,郫县郫筒镇双喜村一、二、三社，晨光村三、六社，书院村一社,郫县郫筒镇双喜村一、二、三社，晨光村三、六社，书院村一社,城镇混合住宅用地,流拍,暂无,2016/1/14,2016/1/14,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,50046万元,暂无,暂无,暂无,郫县郫筒镇双喜村一、二、三社，晨光土地公告,http://industrydown.fang.com/tudi/20151223/chenggongzitupaigao[2015]59hao.docx,028-85987887,12600万元,暂无
崇州市街子镇天顺村（三街路北侧）,地块编号：CZ2015-06（211/252）,四川,成都,17152,17152,8576,暂无,≤0.5,暂无,暂无,≤35,≤12,拍卖,商业用地?40年、住宅用地?70年,崇州市街子镇天顺村（三街路北侧）,崇州市街子镇天顺村（三街路北侧）,商业兼容住宅,已成交,成都蜀山投资有限公司,2016/1/14,2016/1/14,2016/1/14,成都市高新区天府大道北段966号天府国际金融中心7号楼,1647万元,1647万元,1920元,暂无,崇州市街子镇天顺村（三街路北侧）土地公告,http://industrydown.fang.com/tudi/20151223/chenggongzitupaigao[2015]59hao.docx,028-85987887,330万元,暂无
崇阳镇水陆村2、9组,地块编号：CGZ15-65,四川,成都,14649,14649,19044,暂无,≥1.3,暂无,暂无,≥35且≤55,暂无,挂牌,50年,崇阳镇水陆村2、9组,崇阳镇水陆村2、9组,工业用地,流拍,暂无,2015/12/29,2016/1/12,暂无,崇州市公共资源交易服务中心,12万元,暂无,暂无,暂无,崇阳镇水陆村2、9组土地公告,http://industrydown.fang.com/tudi/20151214/chonggongzituguagao[2015]06hao.docx,暂无,80万元,暂无
崇阳镇黑铺村2组,地块编号：CGZ15-64,四川,成都,7269,7269,9449,暂无,≥1.3,暂无,暂无,≥35且≤55,暂无,挂牌,50年,崇阳镇黑铺村2组,崇阳镇黑铺村2组,工业用地,已成交,成都蜀渝万江塑胶材料有限公司,2015/12/29,2016/1/12,2016/1/12,崇州市公共资源交易服务中心,131万元,131万元,138元,暂无,崇阳镇黑铺村2组土地公告,http://industrydown.fang.com/tudi/20151214/chonggongzituguagao[2015]06hao.docx,暂无,40万元,暂无
