标题,地块编号,省份,城市,总面积,建设用地面积,规划建筑面积,代征面积,容积率,绿化率,商业比例,建筑密度,限制高度,出让形式,出让年限,位置,四至,规划用途,交易状况,竞得方,起始日期,截止日期,成交日期,交易低点,起始价,成交价,楼面地价,溢价率,土地公告,咨询电话,保证金,最小加价幅度,
龙泉驿区龙泉街道永安路以北,地块编号：LQ05(211):2016-07,四川,成都,32552,32552,97655,暂无,＞2且≤3,暂无,暂无,结合方案合理性确定,暂无,挂牌,商服用地40年,龙泉驿区龙泉街道永安路以北,龙泉驿区龙泉街道永安路以北,商服用地,未成交,暂无,2017/3/17,2017/3/31,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,11230万元,暂无,暂无,暂无,龙泉驿区龙泉街道永安路以北土地公告,http://industrydown.fang.com/tudi/20170223/chenggongzituguagao[2017]3hao.docx,028-85987887,3400万元,暂无
天府新区万安街道石桥社区二、三组,地块编号：TF(05):2016-33,四川,成都,9674,9674,23200,暂无,≤2.4,暂无,暂无,≤50,满足航空限高,挂牌,商服用地40年,天府新区万安街道石桥社区二、三组,天府新区万安街道石桥社区二、三组,商服用地,未成交,暂无,2017/3/14,2017/3/28,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,3338万元,暂无,暂无,暂无,天府新区万安街道石桥社区二、三组土地公告,http://industrydown.fang.com/tudi/20170220/chenggongzituguagao[2017]2hao.docx,028-85987887,1700万元,暂无
天府新区万安街道石桥社区七组,地块编号：TF(05):2016-32,四川,成都,19841,19841,79300,暂无,≤4,暂无,暂无,≤50,满足航空限高,挂牌,商服用地40年,天府新区万安街道石桥社区七组,天府新区万安街道石桥社区七组,商服用地,未成交,暂无,2017/3/14,2017/3/28,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,6845万元,暂无,暂无,暂无,天府新区万安街道石桥社区七组土地公告,http://industrydown.fang.com/tudi/20170220/chenggongzituguagao[2017]2hao.docx,028-85987887,3500万元,暂无
郫县犀浦镇五粮村4、5社,地块编号：PX2016-07(211),四川,成都,14063,14063,63285,暂无,≤4.5,暂无,暂无,≤45,满足航空限高,拍卖,40年,郫县犀浦镇五粮村4、5社,郫县犀浦镇五粮村4、5社,商业用地,未成交,暂无,2017/3/21,2017/3/21,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,3439万元,暂无,暂无,暂无,郫县犀浦镇五粮村4、5社土地公告,http://industrydown.fang.com/tudi/20170228/chenggongzitupaigao[2017]2hao.docx,028-85987887,860万元,暂无
郫县团结镇永定村四社、石堤村十一社,地块编号：PX2017-01(252/211),四川,成都,64951,64951,116911,暂无,＞1且≤1.8,建筑层数不大于6层,暂无,≤30,≤24,拍卖,住宅70年、商业40年,郫县团结镇永定村四社、石堤村十一社,郫县团结镇永定村四社、石堤村十一社,二类住宅用地,未成交,暂无,2017/3/21,2017/3/21,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,21044万元,暂无,暂无,暂无,郫县团结镇永定村四社、石堤村十一社土地公告,http://industrydown.fang.com/tudi/20170228/chenggongzitupaigao[2017]2hao.docx,028-85987887,5300万元,暂无
双流区协和街道长顺村2、6组，清河村9组,地块编号：SLG-(07/05)-2017-001,四川,成都,101462,101462,304385,暂无,＞1且≤3,暂无,≤10,≤25,满足航空限高,拍卖,住宅用地70年；商业用地40年,双流区协和街道长顺村2、6组，清河村9组,双流区协和街道长顺村2、6组，清河村9组,住宅用地兼容商服用地（零售商业、餐饮、金融保险业、艺术传媒产业、其他商务设施、娱乐）,未成交,暂无,2017/3/15,2017/3/15,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,194806万元,暂无,暂无,暂无,双流区协和街道长顺村2、6组，清河土地公告,http://industrydown.fang.com/tudi/20170220/chenggongzitupaigao[2017]1hao.docx,028-85987887,120000万元,暂无
蒲江县大塘镇五里村,地块编号：5101312016061,四川,成都,2256,2256,2256,暂无,≥1,暂无,暂无,≥40,暂无,挂牌,50年,蒲江县大塘镇五里村,蒲江县大塘镇五里村,工业用地,未成交,暂无,2017/2/14,2017/2/28,暂无,蒲江县公共资源交易服务中心,15万元,暂无,暂无,暂无,蒲江县大塘镇五里村土地公告,http://industrydown.fang.com/tudi/20170207/pugongziguagao[2017]01hao.docx,028-88551293,15万元,暂无
新都区泰兴镇普河村2、3组,地块编号：XGY-1705,四川,成都,24466,24466,73397,暂无,≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,新都区泰兴镇普河村2、3组,新都区泰兴镇普河村2、3组,工业用地,已成交,四川江山铁路配件有限公司,2017/2/15,2017/2/27,2017/2/27,成都市新都区新政务中心C区4楼成都市新都区公共资源交易服务中心,598万元,598万元,82元,暂无,新都区泰兴镇普河村2、3组土地公告,http://industrydown.fang.com/tudi/20170207/xinguotuguagao[2017]01hao.docx,暂无,120万元,1
新都区新都街道寂光村7组,地块编号：XGY-1702,四川,成都,5845,5845,17536,暂无,≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,新都区新都街道寂光村7组,新都区新都街道寂光村7组,工业用地,已成交,四川兰德高科技产业有限公司,2017/2/15,2017/2/27,2017/2/27,成都市新都区新政务中心C区4楼成都市新都区公共资源交易服务中心,140万元,140万元,80元,暂无,新都区新都街道寂光村7组土地公告,http://industrydown.fang.com/tudi/20170207/xinguotuguagao[2017]01hao.docx,暂无,29万元,1
新都区新都街道桂溪村1、8组，永兴村1、5、6组,地块编号：XGY-1701,四川,成都,33333,33333,100000,暂无,≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,新都区新都街道桂溪村1、8组，永兴村1、5、6组,新都区新都街道桂溪村1、8组，永兴村1、5、6组,工业用地,已成交,成都铭耀精密机械制造有限公司,2017/2/15,2017/2/27,2017/2/27,成都市新都区新政务中心C区4楼成都市新都区公共资源交易服务中心,800万元,800万元,80元,暂无,新都区新都街道桂溪村1、8组，永兴土地公告,http://industrydown.fang.com/tudi/20170207/xinguotuguagao[2017]01hao.docx,暂无,249万元,1
新都区新都街道桥楼村1、2组，龙虎村1组,地块编号：XGY-1703,四川,成都,90442,90442,271327,暂无,≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,新都区新都街道桥楼村1、2组，龙虎村1组,新都区新都街道桥楼村1、2组，龙虎村1组,工业用地,已成交,成都法尔肯机械有限公司,2017/2/15,2017/2/27,2017/2/27,成都市新都区新政务中心C区4楼成都市新都区公共资源交易服务中心,2405万元,2405万元,89元,暂无,新都区新都街道桥楼村1、2组，龙虎土地公告,http://industrydown.fang.com/tudi/20170207/xinguotuguagao[2017]01hao.docx,暂无,482万元,1
新都区新都街道白店村1组，君跃村1、2组,地块编号：XGY-1706,四川,成都,70666,70666,211999,暂无,≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,新都区新都街道白店村1组，君跃村1、2组,新都区新都街道白店村1组，君跃村1、2组,工业用地,已成交,四川川缆电缆工业管理有限公司,2017/2/15,2017/2/27,2017/2/27,成都市新都区新政务中心C区4楼成都市新都区公共资源交易服务中心,1696万元,1696万元,80元,暂无,新都区新都街道白店村1组，君跃村1土地公告,http://industrydown.fang.com/tudi/20170207/xinguotuguagao[2017]01hao.docx,暂无,340万元,1
新都区木兰镇长林社区5、6组,地块编号：XGY-1707,四川,成都,60542,60542,121084,暂无,≥1且≤2,暂无,暂无,≥30且≤60,暂无,挂牌,50年,新都区木兰镇长林社区5、6组,新都区木兰镇长林社区5、6组,仓储用地,已成交,四川科伦医药贸易有限公司,2017/2/15,2017/2/27,2017/2/27,成都市新都区新政务中心C区4楼成都市新都区公共资源交易服务中心,4314万元,4314万元,356元,暂无,新都区木兰镇长林社区5、6组土地公告,http://industrydown.fang.com/tudi/20170207/xinguotuguagao[2017]01hao.docx,暂无,2160万元,1
新都区新都街道君跃村1、3、4组，黄河村3组,地块编号：XGY-1704,四川,成都,51689,51689,155066,暂无,≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,新都区新都街道君跃村1、3、4组，黄河村3组,新都区新都街道君跃村1、3、4组，黄河村3组,工业用地,已成交,四川省金荷园林绿化工程有限责任公司,2017/2/15,2017/2/27,2017/2/27,成都市新都区新政务中心C区4楼成都市新都区公共资源交易服务中心,1241万元,1241万元,80元,暂无,新都区新都街道君跃村1、3、4组，土地公告,http://industrydown.fang.com/tudi/20170207/xinguotuguagao[2017]01hao.docx,暂无,249万元,1
成都经开区车城东四路以东、车城东三路以北,地块编号：LGG2016-19(BH14),四川,成都,26667,26667,26667,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,成都经开区车城东四路以东、车城东三路以北,成都经开区车城东四路以东、车城东三路以北,工业用地,已成交,成都超维伯恩汽车零部件有限责任公司,2017/2/14,2017/2/24,2017/2/24,成都市龙泉驿区公共资源交易服务中心,640万元,640万元,240元,暂无,成都经开区车城东四路以东、车城东三土地公告,http://industrydown.fang.com/tudi/20170207/longgongzituguagao[2017]01hao.docx,暂无,200万元,暂无
成都经开区南二路以北、车城西二路以西,地块编号：LGG2016-20(DM03),四川,成都,19807,19807,19807,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,成都经开区南二路以北、车城西二路以西,成都经开区南二路以北、车城西二路以西,工业用地,已成交,四川三联卷烟材料有限公司,2017/2/14,2017/2/24,2017/2/24,成都市龙泉驿区公共资源交易服务中心,520万元,520万元,263元,暂无,成都经开区南二路以北、车城西二路以土地公告,http://industrydown.fang.com/tudi/20170207/longgongzituguagao[2017]01hao.docx,暂无,160万元,暂无
温江区金马镇光明社区4、6组，温泉社区15组,地块编号：WJ2017-04（221）,四川,成都,47005,47005,47005,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,温江区金马镇光明社区4、6组，温泉社区15组,温江区金马镇光明社区4、6组，温泉社区15组,工业用地,未成交,暂无,2017/2/14,2017/2/24,暂无,成都市温江区锦绣大道南段43号天府智谷C栋3楼,1410万元,暂无,暂无,暂无,温江区金马镇光明社区4、6组，温泉土地公告,http://industrydown.fang.com/tudi/20170207/wengongzituguagao[2017]1hao.docx,暂无,1400万元,70.5075
成都经开区车城东四路以西、经物一路以南,地块编号：LGG2016-18(BH13),四川,成都,100368,100368,301104,暂无,≥1且≤3,≤15,暂无,≥30且≤60,暂无,挂牌,50年,成都经开区车城东四路以西、经物一路以南,成都经开区车城东四路以西、经物一路以南,仓储用地,流拍,暂无,2017/2/14,2017/2/24,暂无,成都市龙泉驿区公共资源交易服务中心,3914万元,暂无,暂无,暂无,成都经开区车城东四路以西、经物一路土地公告,http://industrydown.fang.com/tudi/20170207/longgongzituguagao[2017]01hao.docx,暂无,1200万元,暂无
成都经开区南四路以北、车城东四路以东,地块编号：LGG2016-12(BH08),四川,成都,21042,21042,21042,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,成都经开区南四路以北、车城东四路以东,成都经开区南四路以北、车城东四路以东,工业用地,已成交,成都紫星电气有限公司,2017/2/3,2017/2/16,2017/2/16,成都市龙泉驿区公共资源交易服务中心,505万元,505万元,240元,暂无,成都经开区南四路以北、车城东四路以土地公告,http://industrydown.fang.com/tudi/20170110/longgongzituguagao[2016]04hao.docx,暂无,160万元,暂无
成都经开区文柏大道以东、菱角堰东路以北,地块编号：LGG2016-17(BH12),四川,成都,12741,12741,12741,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,成都经开区文柏大道以东、菱角堰东路以北,成都经开区文柏大道以东、菱角堰东路以北,工业用地,已成交,成都长瑞汽车零部件有限公司,2017/2/3,2017/2/16,2017/2/16,成都市龙泉驿区公共资源交易服务中心,306万元,306万元,240元,暂无,成都经开区文柏大道以东、菱角堰东路土地公告,http://industrydown.fang.com/tudi/20170110/longgongzituguagao[2016]04hao.docx,暂无,100万元,暂无
成都经开区拓展区3线以南、拓展区23线以西,地块编号：LGG2016-14(BH10),四川,成都,14667,14667,14667,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,成都经开区拓展区3线以南、拓展区23线以西,成都经开区拓展区3线以南、拓展区23线以西,工业用地,已成交,成都市昊琦科技有限公司,2017/2/3,2017/2/16,2017/2/16,成都市龙泉驿区公共资源交易服务中心,352万元,352万元,240元,暂无,成都经开区拓展区3线以南、拓展区2土地公告,http://industrydown.fang.com/tudi/20170110/longgongzituguagao[2016]04hao.docx,暂无,110万元,暂无
成都经开区黄土镇西陵大道以北、唤子林南路以东,地块编号：LGG2016-15(HT02),四川,成都,33333,33333,33333,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,成都经开区黄土镇西陵大道以北、唤子林南路以东,成都经开区黄土镇西陵大道以北、唤子林南路以东,工业用地,已成交,成都东神汽车零部件有限公司,2017/2/3,2017/2/16,2017/2/16,成都市龙泉驿区公共资源交易服务中心,800万元,800万元,240元,暂无,成都经开区黄土镇西陵大道以北、唤子土地公告,http://industrydown.fang.com/tudi/20170110/longgongzituguagao[2016]04hao.docx,暂无,240万元,暂无
成都经开区规划东二路以东、拓展区三线以南,地块编号：LGG2016-10(BH)07,四川,成都,48735,48735,48735,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,成都经开区规划东二路以东、拓展区三线以南,成都经开区规划东二路以东、拓展区三线以南,工业用地,已成交,四川省明宏车灯有限公司,2017/2/3,2017/2/16,2017/2/16,成都市龙泉驿区公共资源交易服务中心,1170万元,1170万元,240元,暂无,成都经开区规划东二路以东、拓展区三土地公告,http://industrydown.fang.com/tudi/20170110/longgongzituguagao[2016]04hao.docx,暂无,360万元,暂无
成都经开区南四路以北、文柏大道以西,地块编号：LGG2016-16(BH11),四川,成都,20000,20000,20000,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,成都经开区南四路以北、文柏大道以西,成都经开区南四路以北、文柏大道以西,工业用地,已成交,成都明力达汽车装饰有限公司,2017/2/3,2017/2/16,2017/2/16,成都市龙泉驿区公共资源交易服务中心,480万元,480万元,240元,暂无,成都经开区南四路以北、文柏大道以西土地公告,http://industrydown.fang.com/tudi/20170110/longgongzituguagao[2016]04hao.docx,暂无,150万元,暂无
成都经开区南四路南侧、草堰街东侧,地块编号：LGG2016-11(DM02),四川,成都,13305,13305,39915,暂无,≥1且≤3,≤15,暂无,≥30且≤60,暂无,挂牌,50年,成都经开区南四路南侧、草堰街东侧,成都经开区南四路南侧、草堰街东侧,仓储用地,已成交,成都丰田叉车有限公司,2017/2/3,2017/2/16,2017/2/16,成都市龙泉驿区公共资源交易服务中心,569万元,569万元,143元,暂无,成都经开区南四路南侧、草堰街东侧土地公告,http://industrydown.fang.com/tudi/20170110/longgongzituguagao[2016]04hao.docx,暂无,180万元,暂无
成都经开区文柏大道以西、城北街以北,地块编号：LGG2016-13(BH09),四川,成都,19273,19273,19273,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,成都经开区文柏大道以西、城北街以北,成都经开区文柏大道以西、城北街以北,工业用地,已成交,成都宁兴汽车弹簧有限公司,2017/2/3,2017/2/16,2017/2/16,成都市龙泉驿区公共资源交易服务中心,463万元,463万元,240元,暂无,成都经开区文柏大道以西、城北街以北土地公告,http://industrydown.fang.com/tudi/20170110/longgongzituguagao[2016]04hao.docx,暂无,140万元,暂无
天府新区新兴街道油坊村九组，孔雀村五组、十组,地块编号：TF(061):2016-48,四川,成都,77130,77130,231400,暂无,≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,天府新区新兴街道油坊村九组，孔雀村五组、十组,天府新区新兴街道油坊村九组，孔雀村五组、十组,工业用地,已成交,四川西丹孚能源科技有限公司,2017/1/19,2017/2/7,2017/2/7,成都市高新区天府大道北段966号天府国际金融中心7号楼,1851万元,1851万元,80元,暂无,天府新区新兴街道油坊村九组，孔雀村土地公告,http://industrydown.fang.com/tudi/20170104/chenggongzituguagao[2016]35hao.docx,028-85987887,1025万元,暂无
成都市双流区公兴街道草坪村5组、黄甲街道长埂社区2组,地块编号：SLG-(2016)-034,四川,成都,83696,83696,100436,暂无,≥1.2,暂无,暂无,暂无,暂无,拍卖,50年,成都市双流区公兴街道草坪村5组、黄甲街道长埂社区2组,成都市双流区公兴街道草坪村5组、黄甲街道长埂社区2组,工业用地,已成交,川开电器有限公司,2017/1/26,2017/1/26,2017/1/26,成都市双流区公共资源交易服务中心,1758万元,1758万元,175元,暂无,成都市双流区公兴街道草坪村5组、黄土地公告,http://industrydown.fang.com/tudi/20170110/shuanggongzituguagao[2016]9hao.docx,暂无,1300万元,1
双流区协和街道长顺村三组、公兴街道藕塘村五、六组,地块编号：SLG-(2016)-035,四川,成都,130907,130907,157089,暂无,≥1.2,暂无,暂无,暂无,暂无,拍卖,50年,双流区协和街道长顺村三组、公兴街道藕塘村五、六组,双流区协和街道长顺村三组、公兴街道藕塘村五、六组,工业用地,已成交,成都金发科技孵化器有限公司,2017/1/26,2017/1/26,2017/1/26,成都市双流区公共资源交易服务中心,2749万元,2749万元,175元,暂无,双流区协和街道长顺村三组、公兴街道土地公告,http://industrydown.fang.com/tudi/20170110/shuanggongzituguagao[2016]9hao.docx,暂无,2000万元,1
青白江区华金大道以南、青白江大道以西,地块编号：QBJ2016-51,四川,成都,34247,34247,34247,暂无,＞1,≤20,暂无,≥35,暂无,挂牌,30年,青白江区华金大道以南、青白江大道以西,青白江区华金大道以南、青白江大道以西,仓储用地,流拍,暂无,2017/1/11,2017/1/24,暂无,成都市青白江区公共资源交易服务中心,暂无,暂无,暂无,暂无,青白江区华金大道以南、青白江大道以土地公告,http://industrydown.fang.com/tudi/20161226/qinggongzituguagao[2016]7hao.docx,暂无,240万元,暂无
新都区、青白江区祥福镇桂通村1、12组,地块编号：QBJ2016-44,四川,成都,12271,12271,12271,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,新都区、青白江区祥福镇桂通村1、12组,新都区、青白江区祥福镇桂通村1、12组,工业用地,已成交,成都博盈复希科技有限公司,2017/1/11,2017/1/24,2017/1/24,成都市青白江区公共资源交易服务中心,暂无,295万元,240元,暂无,新都区、青白江区祥福镇桂通村1、1土地公告,http://industrydown.fang.com/tudi/20161226/qinggongzituguagao[2016]7hao.docx,暂无,60万元,暂无
青白江区青白江大道以西、复兴大道以南,地块编号：QBJ2016-53,四川,成都,44679,44679,44679,暂无,＞1,≤20,暂无,≥35,暂无,挂牌,30年,青白江区青白江大道以西、复兴大道以南,青白江区青白江大道以西、复兴大道以南,仓储用地,已成交,成都润城市场经营管理有限责任公司,2017/1/11,2017/1/24,2017/1/24,成都市青白江区公共资源交易服务中心,暂无,1541万元,345元,暂无,青白江区青白江大道以西、复兴大道以土地公告,http://industrydown.fang.com/tudi/20161226/qinggongzituguagao[2016]7hao.docx,暂无,310万元,暂无
青白江区华金大道以北、大件路以东,地块编号：QBJ2016-33,四川,成都,79215,79215,79215,暂无,＞1,≤20,暂无,≥35,暂无,挂牌,30年,青白江区华金大道以北、大件路以东,青白江区华金大道以北、大件路以东,仓储用地,已成交,四川省顺邦投资有限公司,2017/1/11,2017/1/24,2017/1/24,成都市青白江区公共资源交易服务中心,暂无,2733万元,345元,暂无,青白江区华金大道以北、大件路以东土地公告,http://industrydown.fang.com/tudi/20161226/qinggongzituguagao[2016]7hao.docx,暂无,550万元,暂无
青白江区大弯街道黄金村集体、4、5组,地块编号：QBJ2016-16,四川,成都,69497,69497,69497,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,青白江区大弯街道黄金村集体、4、5组,青白江区大弯街道黄金村集体、4、5组,工业用地,已成交,四川瑞锦板材有限公司,2017/1/11,2017/1/24,2017/1/24,成都市青白江区公共资源交易服务中心,暂无,1668万元,240元,暂无,青白江区大弯街道黄金村集体、4、5土地公告,http://industrydown.fang.com/tudi/20161226/qinggongzituguagao[2016]7hao.docx,暂无,340万元,暂无
青白江区弥牟镇曙光村14、15、16组，国光社区10组，白马村1组,地块编号：QBJ2016-50,四川,成都,68008,68008,68008,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,青白江区弥牟镇曙光村14、15、16组，国光社区10组，白马村1组,青白江区弥牟镇曙光村14、15、16组，国光社区10组，白马村1组,工业用地,已成交,中国重汽集团成都王牌商用车有限公司,2017/1/11,2017/1/24,2017/1/24,成都市青白江区公共资源交易服务中心,暂无,1632万元,240元,暂无,青白江区弥牟镇曙光村14、15、1土地公告,http://industrydown.fang.com/tudi/20161226/qinggongzituguagao[2016]7hao.docx,暂无,330万元,暂无
新都区新都街道永兴村3组,地块编号：QBJ2016-40,四川,成都,59658,59658,59658,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,新都区新都街道永兴村3组,新都区新都街道永兴村3组,工业用地,已成交,成都建工工业化建筑有限公司,2017/1/11,2017/1/24,2017/1/24,成都市青白江区公共资源交易服务中心,暂无,1432万元,240元,暂无,新都区新都街道永兴村3组土地公告,http://industrydown.fang.com/tudi/20161226/qinggongzituguagao[2016]7hao.docx,暂无,290万元,暂无
青白江区青白江大道以西、复兴大道以北,地块编号：QBJ2016-52,四川,成都,16506,16506,16506,暂无,＞1,≤20,暂无,≥35,暂无,挂牌,30年,青白江区青白江大道以西、复兴大道以北,青白江区青白江大道以西、复兴大道以北,仓储用地,已成交,成都森和物流有限责任公司,2017/1/11,2017/1/24,2017/1/24,成都市青白江区公共资源交易服务中心,暂无,1182万元,716元,暂无,青白江区青白江大道以西、复兴大道以土地公告,http://industrydown.fang.com/tudi/20161226/qinggongzituguagao[2016]7hao.docx,暂无,120万元,暂无
龙泉驿区大面街道办事处洪柳社区5、6组（龙泉驿区大面街道银木街以东、驿都大道以南、银杏大道以西、琼花街以北）,地块编号：LQY01(21):2016-041,四川,成都,110461,110461,662764,暂无,≤6,暂无,暂无,≤45,≤305,挂牌,40年,龙泉驿区大面街道办事处洪柳社区5、6组（龙泉驿区大面街道银木街以东、驿都大道以南、银杏大道以西、琼花街以北）,龙泉驿区大面街道办事处洪柳社区5、6组（龙泉驿区大面街道银木街以东、驿都大道以南、银杏大道以西、琼花街以北）,商服用地,未成交,暂无,2017/1/9,2017/1/20,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,80393万元,暂无,暂无,暂无,龙泉驿区大面街道办事处洪柳社区5、土地公告,http://industrydown.fang.com/tudi/20161207/chenggongzituguagao[2016]32hao.docx,028-85987887,16100万元,暂无
彭州市致和镇花土村,地块编号：PZ2015-46,四川,成都,40043,40043,32035,暂无,≥0.8,≤20,暂无,≥40,≤24,挂牌,50年,彭州市致和镇花土村,彭州市致和镇花土村,工业用地,未成交,暂无,2017/1/5,2017/1/19,暂无,彭州市公共资源交易服务中心,901万元,暂无,暂无,暂无,彭州市致和镇花土村土地公告,http://industrydown.fang.com/tudi/20161219/penggongzituguagao[2016]6hao.docx,暂无,230万元,1
蒲江县甘溪镇明月村,地块编号：PJ2016-19(211),四川,成都,3838,3838,1535,暂无,≤0.4,暂无,暂无,≤40,见备注,挂牌,40年,蒲江县甘溪镇明月村,蒲江县甘溪镇明月村,商业服务业设施用地(文化创意、文化旅游),已成交,成都明庭文化创意有限公司,2017/1/5,2017/1/19,2017/1/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,121万元,121万元,788元,暂无,蒲江县甘溪镇明月村土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]34hao.docx,028-85987887,25万元,暂无
彭州市工业开发区,地块编号：PZ2015-32,四川,成都,68279,68279,136557,暂无,≥1.5且≤2,≤20,暂无,≥35且≤60,暂无,挂牌,50年,彭州市工业开发区,彭州市工业开发区,工业用地,未成交,暂无,2017/1/5,2017/1/19,暂无,彭州市公共资源交易服务中心,1598万元,暂无,暂无,暂无,彭州市工业开发区土地公告,http://industrydown.fang.com/tudi/20161219/penggongzituguagao[2016]6hao.docx,暂无,400万元,1
蒲江县甘溪镇明月村,地块编号：PJ2016-10(211),四川,成都,2725,2725,1090,暂无,≤0.4,暂无,暂无,≤40,见备注,挂牌,40年,蒲江县甘溪镇明月村,蒲江县甘溪镇明月村,商业服务业设施用地(文化创意、文化旅游),已成交,成都市青木文化创意有限公司,2017/1/5,2017/1/19,2017/1/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,86万元,86万元,788元,暂无,蒲江县甘溪镇明月村土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]34hao.docx,028-85987887,20万元,暂无
蒲江县甘溪镇明月村,地块编号：PJ2016-08(211),四川,成都,5993,5993,2397,暂无,≤0.4,暂无,暂无,≤40,见备注,挂牌,40年,蒲江县甘溪镇明月村,蒲江县甘溪镇明月村,商业服务业设施用地(文化创意、文化旅游),已成交,成都善本文化创意有限公司,2017/1/5,2017/1/19,2017/1/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,189万元,189万元,788元,暂无,蒲江县甘溪镇明月村土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]34hao.docx,028-85987887,40万元,暂无
蒲江县甘溪镇明月村,地块编号：PJ2016-07(211),四川,成都,8640,8640,3456,暂无,≤0.4,暂无,暂无,≤40,见备注,挂牌,40年,蒲江县甘溪镇明月村,蒲江县甘溪镇明月村,商业服务业设施用地(文化创意、文化旅游),已成交,成都乡香明月置业开发有限公司,2017/1/5,2017/1/19,2017/1/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,272万元,272万元,788元,暂无,蒲江县甘溪镇明月村土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]34hao.docx,028-85987887,60万元,暂无
蒲江县甘溪镇明月村,地块编号：PJ2016-06(211),四川,成都,2296,2296,918,暂无,≤0.4,暂无,暂无,≤40,见备注,挂牌,40年,蒲江县甘溪镇明月村,蒲江县甘溪镇明月村,商业服务业设施用地(文化创意、文化旅游),已成交,成都合造文化发展有限公司,2017/1/5,2017/1/19,2017/1/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,72万元,72万元,788元,暂无,蒲江县甘溪镇明月村土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]34hao.docx,028-85987887,15万元,暂无
蒲江县甘溪镇明月村,地块编号：PJ2016-13(211),四川,成都,3215,3215,1286,暂无,≤0.4,暂无,暂无,≤40,见备注,挂牌,40年,蒲江县甘溪镇明月村,蒲江县甘溪镇明月村,商业服务业设施用地(文化创意、文化旅游),已成交,成都乡香呆月置业开发有限公司,2017/1/5,2017/1/19,2017/1/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,101万元,101万元,787元,暂无,蒲江县甘溪镇明月村土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]34hao.docx,028-85987887,25万元,暂无
蒲江县甘溪镇明月村,地块编号：PJ2016-22(211),四川,成都,5260,5260,2104,暂无,≤0.4,暂无,暂无,≤40,见备注,挂牌,40年,蒲江县甘溪镇明月村,蒲江县甘溪镇明月村,商业服务业设施用地(文化创意、文化旅游),已成交,成都乡香音月置业开发有限公司,2017/1/5,2017/1/19,2017/1/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,166万元,166万元,788元,暂无,蒲江县甘溪镇明月村土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]34hao.docx,028-85987887,40万元,暂无
都江堰市青城山镇青景社区,地块编号：DJY2016-33(213),四川,成都,79581,79581,71623,暂无,≤0.9,暂无,暂无,≤45,见备注,挂牌,40年,都江堰市青城山镇青景社区,都江堰市青城山镇青景社区,餐饮旅馆业用地,已成交,成都泰合仁华大酒店管理有限公司,2017/1/5,2017/1/19,2017/1/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,9072万元,9072万元,1267元,暂无,都江堰市青城山镇青景社区土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]34hao.docx,028-85987887,2300万元,暂无
